Ad_ID,Campaign_Name,Clicks,Impressions,Impressions per conversion,Cost,Conversions,Cost per conversion,Leads,Conversion Rate,Sale_Amount,Ad_Date,Location,Device,Keyword
A1483,Data Analytcis Course,136,5724,572.40,$218.37,10,$21.84,25,0.074,"$1,268",2024-11-18,Hyderbad,desktop,data analytics course
A1484,Data Analytics Corse,86,4763,595.38,$243.78,8,$30.47,11,0.093,"$1,770",13-11-2024,hydrebad,MOBILE,learn data analytics
A1485,DataAnalyticsCourse,175,3095,773.75,$236.86,4,$59.22,22,0.023,"$1,617",2024/11/20,HYDERABAD,MOBILE,analytics for data
A1486,Data Analytics Corse,173,5554,1388.50,$185.09,4,$46.27,22,0.023,"$1,000",2024-11-01,Hyderbad,Desktop,data analytics course
A1487,Data Analytics Corse,192,3407,378.56,$223.29,9,$24.81,29,0.047,"$1,538",2024/11/25,Hyderbad,tablet,data anaytics training
A1488,Data Anlytics Corse,190,4465,893.00,$241.38,5,$48.28,28,0.026,"$1,910",2024/11/04,hyderabad,desktop,analytics for data
A1489,Data Anlytics Corse,161,3311,662.20,$221.64,5,$44.33,16,0.031,"$1,006",02-11-2024,hyderabad,tablet,online data analytic
A1490,Data Analytics Corse,197,3265,1088.33,$200.40,3,$66.80,15,0.015,"$1,882",01-11-2024,Hyderbad,MOBILE,learn data analytics
A1491,Data Anlytics Corse,80,4969,1656.33,$210.70,3,$70.23,25,0.037,"$1,146",2024-11-05,hyderabad,TABLET,analytics for data
A1492,Data Analytcis Course,145,5368,1342.00,$200.88,4,$50.22,14,0.028,"$1,125",2024/11/27,HYDERABAD,Tablet,learn data analytics
A1493,Data Anlytics Corse,90,5851,731.38,$232.94,8,$29.12,22,0.089,"$1,421",2024-11-28,hydrebad,Desktop,learn data analytics
A1494,Data Analytcis Course,109,4884,610.50,$228.13,8,$28.52,11,,"$1,680",2024/11/15,Hyderbad,Desktop,data anaytics training
A1495,Data Analytics Corse,130,5719,1143.80,,5,0,10,0.03,"$1,208",2024/11/23,Hyderbad,Desktop,analytics for data
A1496,Data Analytcis Course,179,5828,1457.00,$247.84,4,$61.96,15,0.022,"$1,127",2024/11/14,HYDERABAD,MOBILE,analytics for data
A1497,Data Analytics Corse,181,4935,987.00,$239.29,5,$47.86,15,0.03,"$1,497",09-11-2024,HYDERABAD,desktop,data anaytics training
A1498,DataAnalyticsCourse,188,4491,641.57,$201.73,7,$28.82,24,0.037,"$1,906",2024-11-21,Hyderbad,mobile,online data analytic
A1499,Data Analytics Corse,139,3659,914.75,$189.09,4,$47.27,16,0.029,"$1,892",2024/11/29,Hyderbad,desktop,data anaytics training
A1500,Data Anlytics Corse,99,4809,601.13,$210.60,8,$26.33,24,0.081,,13-11-2024,hydrebad,MOBILE,data analytics course
A1501,Data Analytics Corse,95,5844,649.33,$211.95,9,$23.55,10,0.095,"$1,444",2024/11/08,hyderabad,TABLET,learn data analytics
A1502,DataAnalyticsCourse,131,5559,1111.80,,5,0,28,0.035,"$1,604",2024/11/29,Hyderbad,Desktop,analytics for data
A1503,Data Anlytics Corse,190,4630,1157.50,$217.60,4,$54.40,27,,"$1,900",2024/11/23,HYDERABAD,Tablet,data anaytics training
A1504,Data Analytcis Course,123,3340,417.50,$225.16,8,$28.15,23,,"$1,563",2024-11-26,HYDERABAD,MOBILE,online data analytic
A1505,DataAnalyticsCourse,97,3330,1110.00,$182.98,3,$60.99,15,0.031,"$1,102",2024-11-14,Hyderbad,Tablet,data analitics online
A1506,Data Analytcis Course,164,3117,623.40,$198.53,5,$39.71,25,,"$1,749",2024-11-29,Hyderbad,MOBILE,analytics for data
A1507,DataAnalyticsCourse,134,3562,356.20,$247.59,10,$24.76,24,0.075,"$1,295",01-11-2024,HYDERABAD,TABLET,analytics for data
A1508,DataAnalyticsCourse,117,5144,1714.67,$221.76,3,$73.92,23,0.038,"$1,338",2024/11/11,Hyderbad,MOBILE,analytics for data
A1509,DataAnalyticsCourse,168,4375,546.88,,8,0,19,0.048,"$1,267",2024-11-06,Hyderbad,mobile,online data analytic
A1510,Data Analytcis Course,173,3328,332.80,$224.17,10,$22.42,15,0.043,"$1,904",2024-11-28,hydrebad,mobile,online data analytic
A1511,Data Anlytics Corse,158,4336,481.78,$238.29,9,$26.48,26,0.052,"$1,245",2024-11-30,Hyderbad,Tablet,online data analytic
A1512,Data Analytcis Course,135,5063,843.83,$195.58,6,$32.60,22,0.044,,29-11-2024,Hyderbad,tablet,learn data analytics
A1513,DataAnalyticsCourse,182,5993,1997.67,,3,0,19,,"$1,254",19-11-2024,hyderabad,DESKTOP,data anaytics training
A1514,Data Anlytics Corse,83,3926,785.20,$237.07,5,$47.41,22,0.06,"$1,667",2024-11-07,hydrebad,Mobile,analytics for data
A1515,DataAnalyticsCourse,85,5570,795.71,$221.73,7,$31.68,14,,"$1,292",29-11-2024,hyderabad,TABLET,data analitics online
A1516,Data Anlytics Corse,98,5571,795.86,$208.40,7,$29.77,15,0.071,"$1,890",14-11-2024,HYDERABAD,DESKTOP,analytics for data
A1517,Data Anlytics Corse,151,5700,1900.00,$182.27,3,$60.76,13,0.054,"$1,255",2024-11-23,hydrebad,Mobile,data analytics course
A1518,Data Analytics Corse,122,4441,740.17,$244.38,6,$40.73,25,0.049,,02-11-2024,hydrebad,DESKTOP,analytics for data
A1519,Data Analytcis Course,84,4646,663.71,$226.32,7,$32.33,11,0.051,"$1,596",2024-11-30,hyderabad,tablet,analytics for data
A1520,Data Analytcis Course,127,5964,#DIV/0!,$182.01,,#DIV/0!,26,,"$1,490",25-11-2024,Hyderbad,desktop,data analytics course
A1521,Data Analytcis Course,148,4725,1575.00,$187.02,3,$62.34,25,0.02,"$1,586",2024/11/15,HYDERABAD,MOBILE,learn data analytics
A1522,DataAnalyticsCourse,85,4230,528.75,$233.73,8,$29.22,18,,"$1,998",2024/11/08,Hyderbad,TABLET,data analytics course
A1523,Data Analytcis Course,105,3880,485.00,$246.63,8,$30.83,19,0.051,"$1,598",2024/11/13,hydrebad,mobile,data anaytics training
A1524,DataAnalyticsCourse,187,3842,768.40,$214.35,5,$42.87,28,0.031,"$1,596",2024/11/13,hyderabad,mobile,online data analytic
A1525,Data Analytcis Course,153,3143,314.30,$244.73,10,$24.47,12,0.065,"$1,365",2024/11/15,HYDERABAD,Mobile,online data analytic
A1526,Data Analytics Corse,143,5781,642.33,$208.63,9,$23.18,21,0.05,"$1,443",2024/11/26,Hyderbad,MOBILE,data analitics online
A1527,Data Anlytics Corse,183,3790,473.75,$202.48,8,$25.31,21,0.037,"$1,215",26-11-2024,HYDERABAD,Desktop,data anaytics training
A1528,DataAnalyticsCourse,172,4250,607.14,$235.20,7,$33.60,28,,"$1,036",06-11-2024,Hyderbad,mobile,learn data analytics
A1529,Data Analytics Corse,98,3800,1266.67,$240.45,3,$80.15,16,0.031,"$1,700",2024-11-01,hyderabad,DESKTOP,data analytics course
A1530,Data Analytics Corse,87,4675,779.17,$200.71,6,$33.45,28,0.069,"$1,428",2024/11/20,Hyderbad,MOBILE,analytics for data
A1531,Data Anlytics Corse,84,5711,951.83,$216.02,6,$36.00,13,,"$1,654",2024-11-17,HYDERABAD,DESKTOP,data anaytics training
A1532,Data Analytcis Course,151,3022,755.50,$191.35,4,$47.84,13,0.026,"$1,133",2024/11/18,hyderabad,mobile,learn data analytics
A1533,Data Anlytics Corse,113,5407,600.78,$203.23,9,$22.58,15,0.037,"$1,745",2024/11/16,hyderabad,desktop,data anaytics training
A1534,Data Analytics Corse,89,5095,1273.75,$202.21,4,$50.55,22,0.056,"$1,065",2024-11-07,hyderabad,TABLET,data analytics course
A1535,Data Analytcis Course,174,3587,512.43,$217.67,7,$31.10,10,0.04,"$1,226",22-11-2024,HYDERABAD,Mobile,data anaytics training
A1536,DataAnalyticsCourse,166,5524,789.14,$205.53,7,$29.36,25,,"$1,241",24-11-2024,hyderabad,Mobile,analytics for data
A1537,Data Analytcis Course,196,3777,755.40,$246.52,5,$49.30,,0.026,"$1,159",2024-11-15,hyderabad,desktop,data analytics course
A1538,Data Anlytics Corse,97,3480,1160.00,$233.32,3,$77.77,22,0.031,"$1,008",2024/11/28,hydrebad,desktop,data analitics online
A1539,Data Anlytics Corse,89,4200,525.00,$200.98,8,$25.12,23,,"$1,476",23-11-2024,hyderabad,mobile,data analytics course
A1540,Data Analytcis Course,130,5384,673.00,$218.60,8,$27.33,24,0.062,"$1,943",2024-11-28,Hyderbad,MOBILE,learn data analytics
A1541,Data Analytics Corse,103,4766,595.75,$245.34,8,$30.67,11,0.078,"$1,488",2024-11-08,hyderabad,Desktop,analytics for data
A1542,Data Analytics Corse,138,3322,415.25,$196.83,8,$24.60,17,0.058,,2024/11/01,HYDERABAD,desktop,online data analytic
A1543,DataAnalyticsCourse,127,4625,1541.67,$207.62,3,$69.21,17,0.024,"$1,811",2024-11-17,HYDERABAD,desktop,learn data analytics
A1544,Data Anlytics Corse,170,4689,781.50,$195.98,6,$32.66,26,0.035,"$1,873",2024-11-14,HYDERABAD,DESKTOP,data analitics online
A1545,DataAnalyticsCourse,115,3764,752.80,$197.47,5,$39.49,20,,"$1,952",2024/11/27,hyderabad,desktop,learn data analytics
A1546,Data Analytcis Course,132,3365,373.89,$198.01,9,$22.00,17,0.068,"$1,161",2024/11/14,hydrebad,DESKTOP,analytics for data
A1547,Data Analytics Corse,168,3392,376.89,$230.77,9,$25.64,15,0.054,"$1,504",2024/11/11,HYDERABAD,mobile,online data analytic
A1548,Data Anlytics Corse,145,5978,597.80,$223.30,10,$22.33,30,,"$1,859",2024-11-20,hyderabad,Mobile,online data analytic
A1549,Data Anlytics Corse,163,3340,477.14,$217.35,7,$31.05,26,0.043,"$1,751",24-11-2024,HYDERABAD,TABLET,data anaytics training
A1550,Data Analytics Corse,84,4407,440.70,$192.52,10,$19.25,19,0.119,"$1,221",2024-11-03,HYDERABAD,Tablet,learn data analytics
A1551,Data Anlytics Corse,124,3180,530.00,$180.80,6,$30.13,17,0.048,"$1,822",2024-11-11,hyderabad,MOBILE,online data analytic
A1552,Data Analytics Corse,162,4947,824.50,$233.76,6,$38.96,23,0.045,"$1,973",2024/11/15,hydrebad,TABLET,data analytics course
A1553,DataAnalyticsCourse,119,4480,1493.33,$184.25,3,$61.42,20,0.025,"$1,985",22-11-2024,hyderabad,Mobile,online data analytic
A1554,Data Anlytics Corse,151,5595,1398.75,$246.66,4,$61.67,24,0.026,"$1,921",2024-11-29,HYDERABAD,Desktop,learn data analytics
A1555,DataAnalyticsCourse,190,4808,801.33,$199.94,6,$33.32,16,0.032,"$1,454",2024/11/03,HYDERABAD,DESKTOP,data analitics online
A1556,Data Analytics Corse,138,3382,483.14,$204.12,7,$29.16,27,0.051,"$1,386",05-11-2024,hydrebad,TABLET,learn data analytics
A1557,Data Anlytics Corse,100,4643,515.89,$214.46,9,$23.83,16,0.09,"$1,179",2024/11/03,hydrebad,tablet,online data analytic
A1558,DataAnalyticsCourse,187,5400,771.43,$210.00,7,$30.00,14,,"$1,945",2024-11-15,Hyderbad,desktop,analytics for data
A1559,Data Analytcis Course,176,3400,1133.33,$191.50,3,$63.83,29,,"$1,429",28-11-2024,Hyderbad,mobile,online data analytic
A1560,Data Analytics Corse,117,4223,703.83,,6,0,28,0.059,"$1,489",2024/11/10,HYDERABAD,mobile,data anaytics training
A1561,Data Anlytics Corse,196,,0.00,$206.31,8,$25.79,24,0.051,"$1,426",2024/11/23,hyderabad,tablet,data analitics online
A1562,DataAnalyticsCourse,155,3864,1288.00,$222.17,3,$74.06,12,,"$1,407",2024-11-21,hydrebad,mobile,data anaytics training
A1563,DataAnalyticsCourse,188,3838,1279.33,$240.99,3,$80.33,15,0.016,"$1,951",10-11-2024,hydrebad,mobile,data analytics course
A1564,Data Analytcis Course,81,5659,1414.75,$222.98,4,$55.75,25,0.057,"$1,654",2024-11-19,HYDERABAD,TABLET,data analitics online
A1565,Data Analytics Corse,125,4794,684.86,,7,0,28,0.051,"$1,453",2024-11-22,HYDERABAD,DESKTOP,data analitics online
A1566,Data Analytics Corse,158,5214,1738.00,$222.28,3,$74.09,21,0.019,"$1,630",03-11-2024,hydrebad,DESKTOP,data analytics course
A1567,Data Analytics Corse,133,5762,1152.40,$196.02,5,$39.20,10,0.038,,2024/11/03,hyderabad,TABLET,data analytics course
A1568,Data Analytcis Course,128,5026,558.44,$239.88,9,$26.65,15,0.07,"$1,745",2024/11/25,Hyderbad,Mobile,analytics for data
A1569,Data Analytcis Course,148,3883,970.75,$181.40,4,$45.35,30,0.027,"$1,966",2024-11-16,hydrebad,DESKTOP,analytics for data
A1570,DataAnalyticsCourse,92,4605,1535.00,$234.69,3,$78.23,29,,"$1,264",2024-11-30,Hyderbad,mobile,data anaytics training
A1571,Data Anlytics Corse,147,,0.00,$205.83,8,$25.73,25,,"$1,728",2024-11-02,hydrebad,desktop,data analytics course
A1572,Data Anlytics Corse,136,5454,909.00,$247.70,6,$41.28,13,0.044,"$1,687",2024/11/06,hydrebad,mobile,data analitics online
A1573,Data Anlytics Corse,132,4957,826.17,$220.43,6,$36.74,28,0.045,"$1,218",03-11-2024,Hyderbad,mobile,online data analytic
A1574,DataAnalyticsCourse,173,,0.00,$241.61,3,$80.54,28,0.017,"$1,191",2024-11-13,hyderabad,TABLET,learn data analytics
A1575,Data Anlytics Corse,85,4747,949.40,$224.35,5,$44.87,26,0.059,"$1,087",01-11-2024,HYDERABAD,Tablet,data analytics course
A1576,Data Analytcis Course,129,5874,1174.80,$200.17,5,$40.03,12,0.039,"$1,405",2024-11-29,HYDERABAD,Tablet,online data analytic
A1577,Data Analytics Corse,181,4730,1182.50,$243.35,4,$60.84,16,,"$1,975",2024/11/20,hyderabad,mobile,online data analytic
A1578,Data Analytcis Course,85,5341,890.17,$249.64,6,$41.61,21,0.032,"$1,388",2024/11/10,Hyderbad,Mobile,online data analytic
A1579,Data Analytcis Course,92,4327,618.14,$188.60,7,$26.94,14,,"$1,140",2024-11-22,hydrebad,Tablet,data anaytics training
A1580,Data Analytics Corse,192,,0.00,$180.82,4,$45.21,27,0.021,"$1,847",09-11-2024,hydrebad,MOBILE,data anaytics training
A1581,Data Analytcis Course,146,4484,498.22,$194.67,9,$21.63,27,0.052,"$1,234",2024-11-02,Hyderbad,tablet,data anaytics training
A1582,Data Anlytics Corse,178,4311,1077.75,$205.46,4,$51.37,18,0.022,"$1,671",2024-11-18,hyderabad,Tablet,analytics for data
A1583,DataAnalyticsCourse,197,3009,334.33,$233.44,9,$25.94,22,0.046,"$1,374",18-11-2024,hydrebad,tablet,analytics for data
A1584,Data Anlytics Corse,176,3110,622.00,$205.23,5,$41.05,23,0.028,"$1,746",2024-11-19,hyderabad,DESKTOP,online data analytic
A1585,DataAnalyticsCourse,98,3365,373.89,$224.28,9,$24.92,27,,"$1,108",27-11-2024,HYDERABAD,Desktop,data anaytics training
A1586,DataAnalyticsCourse,105,3274,818.50,$187.89,4,$46.97,24,0.038,"$1,360",2024/11/09,hyderabad,DESKTOP,learn data analytics
A1587,DataAnalyticsCourse,113,3231,323.10,$210.13,10,$21.01,19,0.041,"$1,234",2024/11/15,Hyderbad,desktop,online data analytic
A1588,Data Analytics Corse,,3440,344.00,$246.53,10,$24.65,13,,"$1,217",27-11-2024,hyderabad,tablet,online data analytic
A1589,Data Analytcis Course,88,5196,1039.20,$197.32,5,$39.46,26,0.057,"$1,438",2024/11/03,hydrebad,DESKTOP,online data analytic
A1590,Data Analytics Corse,106,5321,760.14,$239.76,7,$34.25,11,0.066,"$1,910",24-11-2024,hydrebad,Desktop,data anaytics training
A1591,DataAnalyticsCourse,148,5841,834.43,$243.09,7,$34.73,15,0.047,"$1,535",29-11-2024,hyderabad,mobile,data analitics online
A1592,Data Analytcis Course,174,,0.00,$227.96,5,$45.59,25,0.029,"$1,566",2024-11-15,Hyderbad,Tablet,online data analytic
A1593,DataAnalyticsCourse,196,5776,1444.00,$227.24,4,$56.81,30,0.02,,04-11-2024,HYDERABAD,mobile,data anaytics training
A1594,Data Analytics Corse,128,4729,525.44,$243.45,9,$27.05,25,0.031,"$1,782",2024-11-23,hydrebad,desktop,learn data analytics
A1595,Data Analytcis Course,163,5371,767.29,$215.89,7,$30.84,29,0.043,"$1,906",2024-11-05,hydrebad,TABLET,data analytics course
A1596,Data Analytics Corse,183,5268,1053.60,$203.65,5,$40.73,17,0.027,"$1,731",2024-11-12,hyderabad,Mobile,learn data analytics
A1597,DataAnalyticsCourse,196,5386,1346.50,$224.31,4,$56.08,23,0.02,"$1,423",2024/11/30,hyderabad,tablet,learn data analytics
A1598,Data Anlytics Corse,121,4432,443.20,$218.71,10,$21.87,25,,"$1,568",2024/11/13,hydrebad,desktop,analytics for data
A1599,Data Analytics Corse,174,3031,505.17,$242.32,6,$40.39,25,0.034,"$1,381",2024-11-08,HYDERABAD,MOBILE,online data analytic
A1600,Data Anlytics Corse,142,5999,#DIV/0!,$214.05,,#DIV/0!,27,,"$1,064",2024-11-21,HYDERABAD,desktop,analytics for data
A1601,Data Anlytics Corse,118,3274,1091.33,$222.62,3,$74.21,10,0.025,"$1,716",09-11-2024,Hyderbad,TABLET,analytics for data
A1602,Data Analytics Corse,118,5889,588.90,$193.01,10,$19.30,17,0.085,"$1,789",2024-11-10,hyderabad,DESKTOP,online data analytic
A1603,DataAnalyticsCourse,149,5601,933.50,$222.01,6,$37.00,15,0.04,"$1,514",25-11-2024,hydrebad,Desktop,analytics for data
A1604,DataAnalyticsCourse,127,4295,429.50,$212.60,10,$21.26,26,0.079,"$1,713",19-11-2024,HYDERABAD,Tablet,data analytics course
A1605,DataAnalyticsCourse,195,5135,1711.67,$226.37,3,$75.46,17,,,2024/11/24,Hyderbad,desktop,data anaytics training
A1606,Data Anlytics Corse,173,5233,747.57,$229.38,7,$32.77,28,,"$1,322",2024-11-16,HYDERABAD,MOBILE,learn data analytics
A1607,DataAnalyticsCourse,131,5727,1431.75,$218.65,4,$54.66,28,0.031,"$1,631",2024/11/07,hydrebad,Mobile,data anaytics training
A1608,Data Anlytics Corse,105,4691,1563.67,$213.15,3,$71.05,21,0.035,"$1,276",2024-11-22,hyderabad,desktop,analytics for data
A1609,Data Analytcis Course,104,3409,852.25,$207.63,4,$51.91,19,,"$1,195",2024/11/16,hydrebad,Mobile,analytics for data
A1610,DataAnalyticsCourse,139,4333,722.17,$230.05,6,$38.34,19,0.043,"$1,407",21-11-2024,Hyderbad,DESKTOP,analytics for data
A1611,Data Analytcis Course,110,4430,886.00,$197.84,5,$39.57,23,0.045,,2024-11-15,HYDERABAD,Mobile,learn data analytics
A1612,Data Analytcis Course,193,4860,972.00,$181.27,5,$36.25,14,0.026,,2024-11-16,hyderabad,desktop,online data analytic
A1613,Data Analytics Corse,109,4396,439.60,$188.60,10,$18.86,11,0.092,"$1,451",18-11-2024,hyderabad,Mobile,data anaytics training
A1614,Data Analytics Corse,141,5000,500.00,$223.70,10,$22.37,29,0.071,"$1,909",2024-11-12,hydrebad,TABLET,data analitics online
A1615,Data Analytics Corse,182,3487,498.14,$211.71,7,$30.24,23,0.038,"$1,027",2024/11/24,HYDERABAD,MOBILE,data analitics online
A1616,Data Analytcis Course,179,4236,605.14,$245.01,7,$35.00,23,0.039,"$1,822",2024-11-07,hydrebad,Mobile,learn data analytics
A1617,Data Analytcis Course,89,5349,668.63,,8,0,,0.09,"$1,371",28-11-2024,hydrebad,Tablet,data analitics online
A1618,DataAnalyticsCourse,181,5678,567.80,$226.89,10,$22.69,22,,"$1,992",2024/11/02,Hyderbad,tablet,data anaytics training
A1619,Data Anlytics Corse,85,5247,749.57,$219.97,7,$31.42,15,0.082,"$1,612",2024-11-20,hyderabad,desktop,analytics for data
A1620,Data Anlytics Corse,179,3685,#DIV/0!,$202.66,,#DIV/0!,15,0.039,"$1,634",2024-11-18,hyderabad,DESKTOP,data analytics course
A1621,Data Anlytics Corse,172,5862,1465.50,$202.00,4,$50.50,23,0.023,"$1,469",2024/11/28,Hyderbad,DESKTOP,online data analytic
A1622,Data Anlytics Corse,196,5040,560.00,$197.08,9,$21.90,11,0.046,"$1,774",22-11-2024,hydrebad,DESKTOP,data analytics course
A1623,DataAnalyticsCourse,,3423,855.75,$223.95,4,$55.99,30,0.055,"$1,480",2024-11-03,HYDERABAD,DESKTOP,analytics for data
A1624,Data Anlytics Corse,135,5981,996.83,$228.66,6,$38.11,26,,"$1,515",12-11-2024,hyderabad,Desktop,data anaytics training
A1625,Data Analytcis Course,97,3495,582.50,$230.83,6,$38.47,16,0.062,"$1,675",2024/11/23,HYDERABAD,TABLET,analytics for data
A1626,DataAnalyticsCourse,137,3702,411.33,$215.41,9,$23.93,25,0.066,"$1,010",10-11-2024,hyderabad,Desktop,learn data analytics
A1627,Data Analytcis Course,164,3405,1135.00,$217.58,3,$72.53,10,0.018,"$1,885",2024/11/30,Hyderbad,DESKTOP,data analitics online
A1628,Data Anlytics Corse,178,3370,374.44,$180.66,9,$20.07,25,0.051,"$1,830",2024-11-24,Hyderbad,DESKTOP,online data analytic
A1629,DataAnalyticsCourse,146,4455,891.00,$227.13,5,$45.43,16,,"$1,040",24-11-2024,Hyderbad,TABLET,online data analytic
A1630,DataAnalyticsCourse,149,4670,467.00,$218.31,10,$21.83,10,0.067,"$1,623",2024/11/02,Hyderbad,MOBILE,analytics for data
A1631,DataAnalyticsCourse,193,4287,1429.00,$204.62,3,$68.21,15,,"$1,800",2024/11/09,HYDERABAD,TABLET,data anaytics training
A1632,DataAnalyticsCourse,,3546,506.57,$183.41,7,$26.20,27,,"$1,701",2024/11/28,hydrebad,Mobile,data anaytics training
A1633,Data Analytcis Course,106,4740,1580.00,$229.13,3,$76.38,19,0.028,"$1,149",2024-11-11,HYDERABAD,Desktop,online data analytic
A1634,DataAnalyticsCourse,131,5642,626.89,$184.57,9,$20.51,20,,"$1,827",16-11-2024,HYDERABAD,mobile,data analytics course
A1635,Data Analytcis Course,111,4161,594.43,$185.58,7,$26.51,10,,"$1,434",2024-11-04,HYDERABAD,desktop,data anaytics training
A1636,Data Analytcis Course,144,4241,848.20,$181.40,5,$36.28,24,0.035,"$1,693",2024/11/19,hydrebad,mobile,online data analytic
A1637,DataAnalyticsCourse,151,5875,#DIV/0!,$192.46,,#DIV/0!,28,,"$1,459",2024/11/18,hyderabad,MOBILE,data analitics online
A1638,Data Anlytics Corse,146,5457,1091.40,,5,0,15,0.034,"$1,029",2024-11-02,Hyderbad,desktop,data analytics course
A1639,DataAnalyticsCourse,133,4780,1195.00,$198.66,4,$49.67,22,0.03,"$1,905",09-11-2024,hydrebad,TABLET,online data analytic
A1640,Data Analytics Corse,,5922,1974.00,$239.10,3,$79.70,12,0.048,"$1,733",2024/11/06,HYDERABAD,DESKTOP,data analytics course
A1641,Data Analytcis Course,82,3454,493.43,$228.02,7,$32.57,30,0.049,"$1,463",2024-11-09,hyderabad,Desktop,learn data analytics
A1642,Data Analytcis Course,135,3449,689.80,$200.06,5,$40.01,17,0.037,"$1,950",2024/11/07,hydrebad,mobile,data analytics course
A1643,Data Analytcis Course,199,4287,428.70,$235.58,10,$23.56,12,0.05,"$1,276",2024-11-10,hydrebad,tablet,data analytics course
A1644,DataAnalyticsCourse,123,5000,1666.67,$187.67,3,$62.56,25,0.024,"$1,351",2024-11-07,hyderabad,tablet,data analitics online
A1645,DataAnalyticsCourse,154,3437,859.25,$211.63,4,$52.91,28,0.026,"$1,604",2024-11-14,hydrebad,Tablet,data anaytics training
A1646,DataAnalyticsCourse,88,3475,496.43,$191.96,7,$27.42,12,0.08,"$1,204",2024/11/25,HYDERABAD,desktop,online data analytic
A1647,Data Analytics Corse,165,4889,1222.25,$180.19,4,$45.05,21,0.024,"$1,458",2024/11/19,hydrebad,MOBILE,analytics for data
A1648,Data Analytics Corse,87,3639,1213.00,$220.76,3,$73.59,22,0.036,"$1,231",2024-11-14,HYDERABAD,mobile,analytics for data
A1649,Data Analytics Corse,147,3959,439.89,$181.18,9,$20.13,27,0.061,"$1,627",2024/11/26,Hyderbad,MOBILE,analytics for data
A1650,Data Analytcis Course,137,5400,540.00,$180.04,10,$18.00,10,0.073,"$1,375",2024-11-29,hydrebad,TABLET,analytics for data
A1651,DataAnalyticsCourse,188,5528,552.80,$245.03,10,$24.50,13,0.053,"$1,202",2024-11-29,hyderabad,desktop,analytics for data
A1652,Data Anlytics Corse,162,5456,909.33,$193.69,6,$32.28,10,0.037,"$1,992",2024-11-29,HYDERABAD,tablet,online data analytic
A1653,Data Analytcis Course,102,4308,615.43,$221.54,7,$31.65,13,0.06,"$1,096",2024-11-08,HYDERABAD,Mobile,data analitics online
A1654,DataAnalyticsCourse,120,3245,360.56,$196.09,9,$21.79,15,0.075,"$1,056",2024/11/22,HYDERABAD,DESKTOP,data anaytics training
A1655,Data Analytcis Course,125,3339,834.75,$205.32,4,$51.33,18,0.054,"$1,985",28-11-2024,hydrebad,DESKTOP,data analytics course
A1656,Data Anlytics Corse,155,5977,853.86,$187.28,7,$26.75,16,,"$1,607",2024/11/10,hyderabad,DESKTOP,online data analytic
A1657,Data Analytcis Course,137,4231,846.20,$226.49,5,$45.30,25,0.036,"$1,078",2024/11/12,hydrebad,Tablet,analytics for data
A1658,Data Analytcis Course,91,4506,1502.00,$195.99,3,$65.33,12,0.045,"$1,179",2024-11-22,Hyderbad,Tablet,learn data analytics
A1659,DataAnalyticsCourse,87,4869,973.80,$220.97,5,$44.19,29,0.057,"$1,480",2024-11-05,hydrebad,DESKTOP,data anaytics training
A1660,Data Analytics Corse,124,5716,714.50,$217.84,8,$27.23,28,,"$1,791",2024/11/24,hyderabad,MOBILE,data anaytics training
A1661,Data Anlytics Corse,128,3243,540.50,$208.41,6,$34.74,14,0.037,"$1,514",02-11-2024,HYDERABAD,Mobile,online data analytic
A1662,Data Analytcis Course,111,3911,434.56,$239.24,9,$26.58,28,,"$1,097",2024/11/01,HYDERABAD,tablet,online data analytic
A1663,Data Analytics Corse,89,3982,568.86,$209.87,7,$29.98,27,0.079,"$1,920",04-11-2024,hydrebad,desktop,data analytics course
A1664,Data Anlytics Corse,107,5299,662.38,$207.36,8,$25.92,19,,"$1,567",2024/11/26,hydrebad,tablet,data anaytics training
A1665,Data Anlytics Corse,181,4150,830.00,$236.69,5,$47.34,15,,"$1,251",2024-11-10,hyderabad,MOBILE,data analitics online
A1666,DataAnalyticsCourse,110,5925,658.33,$188.18,9,$20.91,29,0.082,"$1,682",23-11-2024,hydrebad,Desktop,data anaytics training
A1667,Data Analytcis Course,85,4010,1002.50,$195.26,4,$48.82,17,0.042,"$1,853",06-11-2024,hydrebad,MOBILE,data analitics online
A1668,Data Analytics Corse,125,5767,720.88,,8,0,12,0.035,"$1,020",2024-11-19,hyderabad,Tablet,data analitics online
A1669,Data Anlytics Corse,163,,0.00,,3,0,11,0.018,"$1,819",2024-11-20,hydrebad,TABLET,data anaytics training
A1670,Data Analytics Corse,129,3787,631.17,$229.81,6,$38.30,10,0.047,"$1,221",2024-11-13,hydrebad,desktop,online data analytic
A1671,Data Analytcis Course,112,4834,690.57,$212.27,7,$30.32,11,0.062,"$1,524",2024/11/27,hyderabad,mobile,data analitics online
A1672,Data Analytcis Course,104,3031,505.17,$188.47,6,$31.41,13,0.043,"$1,998",2024-11-05,hydrebad,desktop,data anaytics training
A1673,DataAnalyticsCourse,132,3754,375.40,$180.88,10,$18.09,21,0.076,"$1,601",2024-11-24,HYDERABAD,Mobile,online data analytic
A1674,Data Anlytics Corse,113,3281,546.83,$241.85,6,$40.31,16,0.053,,08-11-2024,HYDERABAD,Tablet,data analitics online
A1675,Data Anlytics Corse,109,4910,613.75,$236.20,8,$29.53,,0.054,"$1,145",2024/11/08,hydrebad,TABLET,data anaytics training
